taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Endophyllum",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXIII: 849","","","",,""
,"centranthi-rubri",,"",,"",,"Endophyllum centranthi-rubri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXIII: 849","","","",,""
,"Epicoccum",,"",,"",,"","","","","","","","","","","Genus","Sacc.","",,"Index Fungorum","","","",,""
,"purpurascens",,"",,"",,"","","","","","","","","","","Species","Sacc.","",,"Index Fungorum","","","",,""
,"aleurophilum",,"",,"",,"Epicoccum purpurascens var. aleurophilum","","","","","","","","","","Variety","Sacc.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Epicoccum",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. IV: 737","","","",,""
,"purpurascens",,"",,"",,"","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. IV: 737","","","",,""
,"aleurophilum",,"",,"",,"Epicoccum purpurascens var. aleurophilum","","","","","","","","","","Variety","","",,"Saccardo's Syll. fung. IV: 737","","","",,""
,"Gloeosporium",,"",,"",,"","","","","","","","","","","Genus","Penz. & Sacc.","",,"Atti Inst. Veneto Sci. lett., ed Arti,  2: 658 (1884)","","","",,""
,"patella",,"",,"",,"Gloeosporium patella","","","","","","","","","","Species","Penz. & Sacc.","ICBN",,"Atti Inst. Veneto Sci. lett., ed Arti,  2: 658 (1884)","","Assumed Valid","",,""
,"Gloeosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. III: 705","","","",,""
,"patella",,"",,"",,"Gloeosporium patella","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. III: 705","","","",,""
,"Gloeosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 272","","","",,""
,"patella",,"",,"",,"Gloeosporium patella","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 272","","","",,""
,"Gloeosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIX: 775","","","",,""
,"patella",,"",,"",,"Gloeosporium patella","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIX: 775","","","",,""
,"Hypocrea",,"",,"",,"","","","","","","","","","","Genus","Berk.","",,"Index Fungorum","","","",,""
,"semiamplexa",,"",,"",,"Hypocrea semiamplexa","","","","","","","","","","Species","Berk.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Hypocrea",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. II: 581","","","",,""
,"semiamplexa",,"",,"",,"Hypocrea semiamplexa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. II: 581","","","",,""
,"Hypocrea",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 173","","","",,""
,"semiamplexa",,"",,"",,"Hypocrea semiamplexa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 173","","","",,""
,"Hysterographium",,"",,"",,"","","","","","","","","","","Genus","Celotti","",,"Index Fungorum","","","",,""
,"annonae",,"",,"",,"Hysterographium anonae","","","","","","","","","","Species","Celotti","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Hysterographium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. IX: 1123","","","",,""
,"annonae",,"",,"",,"Hysterographium anonae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. IX: 1123","","","",,""
,"Hysterographium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 340","","","",,""
,"annonae",,"",,"",,"Hysterographium anonae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 340","","","",,""
,"Hysterographium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIX: 963","","","",,""
,"annonae",,"",,"",,"Hysterographium anonae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIX: 963","","","",,""
,"Licea",,"",,"",,"","","","","","","","","","","Genus","Berk. & M.A. Curtis","",,"Grevillea,  2(no. 17): 68 (1873)","","","",,""
,"microsperma",,"",,"",,"Licea microsperma","","","","","","","","","","Species","Berk. & M.A. Curtis","ICBN",,"Grevillea,  2(no. 17): 68 (1873)","","Assumed Valid","",,""
,"Licea",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VII: 407","","","",,""
,"microsperma",,"",,"",,"Licea microsperma","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VII: 407","","","",,""
,"Licea",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 195","","","",,""
,"microsperma",,"",,"",,"Licea microsperma","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 195","","","",,""
,"Lophiotrema",,"",,"",,"","","","","","","","","","","Genus","Speg.","",,"Anal. Mus. Nac. Buenos Aires, Ser. 3 19(12): 430 (1909)","","","",,""
,"coffeicola",,"",,"",,"Lophiotrema coffeicola","","","","","","","","","","Species","Speg.","ICBN",,"Anal. Mus. Nac. Buenos Aires, Ser. 3 19(12): 430 (1909)","","Assumed Valid","",,""
,"Lophiotrema",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 549","","","",,""
,"coffeicola",,"",,"",,"Lophiotrema coffeicola","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 549","","","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","Cooke","",,"Index Fungorum","","","",,""
,"rubicarpa",,"",,"",,"Nectria rubicarpa","","","","","","","","","","Species","Cooke","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. II: 480","","","",,""
,"rubicarpa",,"",,"",,"Nectria rubicarpa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. II: 480","","","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 464","","","",,""
,"rubicarpa",,"",,"",,"Nectria rubicarpa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 464","","","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XX: 188","","","",,""
,"rubicarpa",,"",,"",,"Nectria rubicarpa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XX: 188","","","",,""
,"Peronospora",,"",,"",,"","","","","","","","","","","Genus","Gäum.","",,"Beitr. Kryptfl. Schweiz,  5(4): 63 (1923)","","","",,""
,"trivialis",,"",,"",,"Peronospora trivialis","","","","","","","","","","Species","Gäum.","ICBN",,"Beitr. Kryptfl. Schweiz,  5(4): 63 (1923)","","Assumed Valid","",,""
,"Peronospora",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXVI: 60","","","",,""
,"trivialis",,"",,"",,"Peronospora trivialis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXVI: 60","","","",,""
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","Bubák & Kabát","",,"Annls mycol.,  5: 42 (1907)","","","",,""
,"celtidicola",,"",,"",,"Phyllosticta celtidicola","","","","","","","","","","Species","Bubák & Kabát","ICBN",,"Annls mycol.,  5: 42 (1907)","","Assumed Valid","",,""
